"year","trial_name","trial_type","plot_width","plot_length","plant_date","harvest_date","location","accession_name_syn","plot_name","rep_number","plot_number","row_number","col_number","check_test","notes","accession_name","check_released","latitude","longitude","altitude","department","country","ag_zone","location_short","branch_number","DM_gravity","height_1st_branch","yield_ha","shoot_weight_plot","root_weight_plot","frogskin1_5","vigor1_5","lodging1_3","root_number_commercial","root_weight_commercial","root_number_non_commercial","stake_plant","planted_number_plot","plant_type","height","height_wt_leaf","harvest_number","root_skin_color1_3","root_constriction1_3","root_type1_5","root_length1_3","root_number","root_weight_air","root_weight_water","root_rot_number","germinated_number_plot","root_peduncle1_3","root_shape1_6","thrips1_5","carotenoid1_8","harvest_number_plan","germination_perc","yield_ha_v2","DM_yield_ha","root_rot_perc"
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep1_PER183_6",1,6,1,6,"check"," (Operator: lizbethpino, Time: )","PER183","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,30.9318604651162,94.4,72.56,NA,36.28,NA,NA,3,45,34.68,1.8,30.2,20,3,352,NA,5,3,1,NA,2,54,2.82,0.24,NA,20,1,1,NA,1,5,100,72.56,22.4441579534883,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep1_SM1127-8_7",1,7,1,7,"test"," (Operator: lizbethpino, Time: )","SM1127-8_is_Cubana","check_released",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,38.4653125,210.6,46.12,NA,23.06,NA,NA,3,27,17.56,6.4,44.4,20,1,371,NA,5,3,1,NA,2,59,2.92,0.36,NA,20,1,2,NA,1,5,100,46.12,17.740202125,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep1_SM3106-14_8",1,8,1,8,"test"," (Operator: lizbethpino, Time: )","SM3106-14","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,39.5196124031008,112.8,48.48,NA,24.24,NA,NA,2,31,17.9,6.8,34,20,3,371.2,NA,5,1,2,NA,2,65,2.96,0.38,NA,20,1,2,NA,1,5,100,48.48,19.1591080930233,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep1_SM3553-27_9",1,9,1,9,"test"," (Operator: lizbethpino, Time: )","SM3553-27","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,40.938125,330.25,76.22,NA,38.11,NA,NA,2,43,33.16,3.8,52.4,20,1,422.6,NA,5,3,1,NA,2,62,2.96,0.4,NA,20,1,2,NA,1,5,100,76.22,31.203038875,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep1_SM3562-32_10",1,10,1,10,"test"," (Operator: lizbethpino, Time: )","SM3562-32","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,39.949,123.4,47.58,NA,23.79,NA,NA,2,29,17.39,7.2,27.6,20,3,385.4,NA,5,3,1,NA,2,65,3.22,0.42,NA,20,1,1,NA,1,5,100,47.58,19.0077342,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira","Caiseli,Caiselli,CAISELLI","201894CQPRC_cpal_rep1_SMB2446-2_11",1,11,1,11,"check"," (Operator: lizbethpino, Time: )","SMB2446-2_is_Caiseli","check_released",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,42.5866666666666,203.2,44.96,NA,22.48,NA,NA,1,32,16.08,6.6,34.6,20,2,340,NA,5,3,1,NA,3,65,3.08,0.44,NA,20,1,2,NA,1,5,100,44.96,19.1469653333333,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_CG1141-1_22",2,22,2,7,"check"," (Operator: lizbethpino, Time: )","CG1141-1_is_Costena","check_released",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,43.8778321678321,110,46.36,NA,23.18,NA,NA,1,29,17.08,6.4,27.4,20,3,314.4,NA,5,3,2,NA,2,61,3.36,0.5,NA,20,1,2,NA,1,5,100,46.36,20.341762993007,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_CM9456-12_19",2,19,2,10,"test"," (Operator: lizbethpino, Time: )","CM9456-12","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,37.6881428571428,119.2,53.28,NA,26.64,NA,NA,1,35,19.46,7.2,15.4,20,3,241.6,NA,5,3,2,NA,2,71,3.18,0.38,NA,20,1,2,NA,1,5,100,53.28,20.0802425142857,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_CMB8527_15",2,15,2,14,"test"," (Operator: lizbethpino, Time: )","CMB8527","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,NA,123.2,30.8,NA,15.4,NA,NA,1,14,7.34,7.2,33.2,20,2,278.8,NA,5,3,1,NA,2,50,3.24,0.76,NA,20,1,2,NA,1,5,100,30.8,NA,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_COL2214_18",2,18,2,11,"check"," (Operator: lizbethpino, Time: )","COL2214","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,38.99944,155.6,67.16,NA,33.58,NA,NA,2,50,28.94,3.8,20,20,3,242,NA,5,3,1,NA,2,69,2.86,0.36,NA,19,1,2,NA,1,5,95,67.16,26.192023904,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_GM1692-56_23",2,23,2,6,"test"," (Operator: lizbethpino, Time: )","GM1692-56","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,44.5081456953642,91.6,64.48,NA,32.24,NA,NA,2,39,24.44,8,32,20,2,340.8,NA,5,3,2,NA,2,79,3.56,0.54,NA,20,1,3,NA,1,5,100,64.48,28.6988523443708,NA
2018,"201894CQPRC_cpal","201894CQPRC_cpal",4,5,"2018-July-26","2019-June-11","Corpoica Palmira",NA,"201894CQPRC_cpal_rep2_GM214-62_17",2,17,2,12,"test"," (Operator: lizbethpino, Time: )","GM214-62","test",3.533333333,-76.3,NA,"Valle","Colombia","Mid-altitude torpics","cpal",NA,42.2763529411765,144.6,57.24,NA,28.62,NA,NA,1,47,24.14,5.6,13.6,20,1,224.6,NA,5,3,2,NA,2,75,1.98,0.28,NA,20,1,1,NA,1,5,100,57.24,24.1989844235294,NA
